phase,match_id,map_name,start_time,end_time,safety_x,safety_y,safety_radius,poison_x,poison_y,poison_radius,map
6,c34cefda-d279-4911-a2ce-6cca3e1df439,Desert_Main,1210,1379,633635.0625,583690.9375,16755.955078125,633155.5625,584091.0,16066.75390625,Miramar
7,c34cefda-d279-4911-a2ce-6cca3e1df439,Desert_Main,1389,1389,633155.5625,584091.0,16066.75390625,634609.625,588734.1875,10443.3896484375,Miramar
1,cdf21e40-74c1-4968-9ffc-4e11f3a820e0,Tiger_Main,100,506,305609.0,182507.40625,192107.03125,305596.59375,182480.046875,192059.71875,Taego
2,cdf21e40-74c1-4968-9ffc-4e11f3a820e0,Tiger_Main,516,685,248265.4375,212897.15625,105698.8671875,248221.609375,212920.40625,105632.84375,Taego
3,cdf21e40-74c1-4968-9ffc-4e11f3a820e0,Tiger_Main,695,865,230642.625,240518.0,63434.765625,230619.6875,240554.015625,63379.70703125,Taego
4,cdf21e40-74c1-4968-9ffc-4e11f3a820e0,Tiger_Main,875,1044,235748.796875,216214.609375,38064.9375,235756.3125,216178.921875,38027.82421875,Taego
5,cdf21e40-74c1-4968-9ffc-4e11f3a820e0,Tiger_Main,1054,1224,242716.796875,212648.59375,24718.083984375,242716.796875,212648.59375,24718.083984375,Taego
6,cdf21e40-74c1-4968-9ffc-4e11f3a820e0,Tiger_Main,1234,1393,247539.390625,213908.9375,16768.1875,247964.890625,214020.140625,16066.75390625,Taego
1,d456160a-7195-4c18-8b6c-b2dc868632b1,Tiger_Main,99,592,587497.0625,314675.4375,192120.53125,587525.0625,314660.875,192059.71875,Taego
2,d456160a-7195-4c18-8b6c-b2dc868632b1,Tiger_Main,602,770,547796.8125,245119.296875,105716.7734375,547758.1875,245051.703125,105632.84375,Taego
3,d456160a-7195-4c18-8b6c-b2dc868632b1,Tiger_Main,780,948,570817.5,239602.984375,63444.2578125,570852.8125,239594.640625,63379.70703125,Taego
4,d456160a-7195-4c18-8b6c-b2dc868632b1,Tiger_Main,958,1127,591879.6875,226569.609375,38038.375,591888.4375,226564.1875,38027.82421875,Taego
5,d456160a-7195-4c18-8b6c-b2dc868632b1,Tiger_Main,1137,1277,600129.625,226883.234375,26359.625,601289.0,226928.125,24718.083984375,Taego
6,d456160a-7195-4c18-8b6c-b2dc868632b1,Tiger_Main,1287,1397,600448.5,230208.5,17466.892578125,600286.1875,230841.90625,16066.75390625,Taego
7,d456160a-7195-4c18-8b6c-b2dc868632b1,Tiger_Main,1407,1476,598883.375,229358.578125,13219.26171875,597515.8125,227912.5625,10443.3896484375,Taego
1,df0fa947-3242-4528-874b-d78eed22c7d1,Savage_Main,97,440,181953.65625,302341.5,145626.671875,181951.265625,302353.25,145609.578125,Sanhok
2,df0fa947-3242-4528-874b-d78eed22c7d1,Savage_Main,450,679,205541.890625,280488.21875,101957.96875,205558.78125,280472.5625,101926.703125,Sanhok
3,df0fa947-3242-4528-874b-d78eed22c7d1,Savage_Main,689,888,177854.515625,305209.8125,61215.5390625,177814.015625,305245.96875,61156.0234375,Sanhok
4,df0fa947-3242-4528-874b-d78eed22c7d1,Savage_Main,898,1068,155222.609375,317681.375,30615.7734375,155194.671875,317696.75,30578.01171875,Sanhok
5,df0fa947-3242-4528-874b-d78eed22c7d1,Savage_Main,1078,1167,153325.375,323665.90625,16563.21484375,153155.421875,324208.625,15289.005859375,Sanhok
6,df0fa947-3242-4528-874b-d78eed22c7d1,Savage_Main,1177,1267,158175.171875,322676.34375,8904.37109375,159165.71875,322374.0,7644.5029296875,Sanhok
7,df0fa947-3242-4528-874b-d78eed22c7d1,Savage_Main,1277,1347,157587.609375,323588.5625,5234.7392578125,156662.609375,324300.5,3822.25146484375,Sanhok
1,ea4b127d-ef58-4391-874f-c55aae01ab3a,Baltic_Main,100,599,184432.359375,288907.46875,192122.125,184396.578125,288888.40625,192059.71875,Erangel
2,ea4b127d-ef58-4391-874f-c55aae01ab3a,Baltic_Main,609,778,192232.359375,203415.71875,105740.1875,192242.109375,203309.421875,105632.84375,Erangel
3,ea4b127d-ef58-4391-874f-c55aae01ab3a,Baltic_Main,788,958,198967.859375,214084.0625,63453.74609375,198979.671875,214102.984375,63379.70703125,Erangel
4,ea4b127d-ef58-4391-874f-c55aae01ab3a,Baltic_Main,968,1137,218045.109375,224563.296875,38043.14453125,218056.640625,224569.625,38027.82421875,Erangel
5,ea4b127d-ef58-4391-874f-c55aae01ab3a,Baltic_Main,1147,1287,221412.65625,233614.703125,26360.5390625,221885.09375,234888.015625,24718.083984375,Erangel
6,ea4b127d-ef58-4391-874f-c55aae01ab3a,Baltic_Main,1297,1407,223554.8125,238760.515625,17463.759765625,223876.359375,239506.265625,16066.75390625,Erangel
7,ea4b127d-ef58-4391-874f-c55aae01ab3a,Baltic_Main,1417,1507,227001.40625,237460.953125,11340.802734375,227594.828125,237072.5625,10443.3896484375,Erangel
8,ea4b127d-ef58-4391-874f-c55aae01ab3a,Baltic_Main,1517,1586,229048.453125,235977.65625,7973.513671875,229746.046875,235452.203125,6788.203125,Erangel
1,efb313cf-24df-45ba-9b16-4c7aca4a396a,Tiger_Main,98,595,263356.625,171060.140625,192145.9375,263324.625,171007.75,192059.71875,Taego
2,efb313cf-24df-45ba-9b16-4c7aca4a396a,Tiger_Main,605,775,319950.0,208730.9375,105755.4921875,320030.46875,208784.546875,105632.84375,Taego
3,efb313cf-24df-45ba-9b16-4c7aca4a396a,Tiger_Main,785,954,291033.8125,206427.375,63467.7265625,290973.28125,206422.453125,63379.70703125,Taego
4,efb313cf-24df-45ba-9b16-4c7aca4a396a,Tiger_Main,964,1134,294674.625,189911.359375,38044.1328125,294677.0,189900.734375,38027.82421875,Taego
5,efb313cf-24df-45ba-9b16-4c7aca4a396a,Tiger_Main,1143,1283,287377.375,198189.546875,26359.501953125,286350.5,199355.5625,24718.083984375,Taego
6,efb313cf-24df-45ba-9b16-4c7aca4a396a,Tiger_Main,1293,1403,290286.9375,204223.59375,17467.87890625,291047.65625,205164.359375,16066.75390625,Taego
7,efb313cf-24df-45ba-9b16-4c7aca4a396a,Tiger_Main,1413,1503,293350.625,206328.59375,11340.8828125,293787.96875,206549.703125,10443.3896484375,Taego
8,efb313cf-24df-45ba-9b16-4c7aca4a396a,Tiger_Main,1513,1593,292255.5,207406.59375,7365.28271484375,291968.1875,207567.25,6788.203125,Taego
